Combination,Pattern
FFFFFFFF,[A-F]{8}
FFFFFFF9,[A-F]{7}\d{1}
FFFFFF9F,[A-F]{6}\d{1}[A-F]{1}
FFFFFF99,[A-F]{6}\d{2}
FFFFF9FF,[A-F]{5}\d{1}[A-F]{2}
FFFFF9F9,[A-F]{5}\d{1}[A-F]{1}\d{1}
FFFFF99F,[A-F]{5}\d{2}[A-F]{1}
FFFFF999,[A-F]{5}\d{3}
FFFF9FFF,[A-F]{4}\d{1}[A-F]{3}
FFFF9FF9,[A-F]{4}\d{1}[A-F]{2}\d{1}
FFFF9F9F,[A-F]{4}\d{1}[A-F]{1}\d{1}[A-F]{1}
FFFF9F99,[A-F]{4}\d{1}[A-F]{1}\d{2}
FFFF99FF,[A-F]{4}\d{2}[A-F]{2}
FFFF99F9,[A-F]{4}\d{2}[A-F]{1}\d{1}
FFFF999F,[A-F]{4}\d{3}[A-F]{1}
FFFF9999,[A-F]{4}\d{4}
FFF9FFFF,[A-F]{3}\d{1}[A-F]{4}
FFF9FFF9,[A-F]{3}\d{1}[A-F]{3}\d{1}
FFF9FF9F,[A-F]{3}\d{1}[A-F]{2}\d{1}[A-F]{1}
FFF9FF99,[A-F]{3}\d{1}[A-F]{2}\d{2}
FFF9F9FF,[A-F]{3}\d{1}[A-F]{1}\d{1}[A-F]{2}
FFF9F9F9,[A-F]{3}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}
FFF9F99F,[A-F]{3}\d{1}[A-F]{1}\d{2}[A-F]{1}
FFF9F999,[A-F]{3}\d{1}[A-F]{1}\d{3}
FFF99FFF,[A-F]{3}\d{2}[A-F]{3}
FFF99FF9,[A-F]{3}\d{2}[A-F]{2}\d{1}
FFF99F9F,[A-F]{3}\d{2}[A-F]{1}\d{1}[A-F]{1}
FFF99F99,[A-F]{3}\d{2}[A-F]{1}\d{2}
FFF999FF,[A-F]{3}\d{3}[A-F]{2}
FFF999F9,[A-F]{3}\d{3}[A-F]{1}\d{1}
FFF9999F,[A-F]{3}\d{4}[A-F]{1}
FFF99999,[A-F]{3}\d{5}
FF9FFFFF,[A-F]{2}\d{1}[A-F]{5}
FF9FFFF9,[A-F]{2}\d{1}[A-F]{4}\d{1}
FF9FFF9F,[A-F]{2}\d{1}[A-F]{3}\d{1}[A-F]{1}
FF9FFF99,[A-F]{2}\d{1}[A-F]{3}\d{2}
FF9FF9FF,[A-F]{2}\d{1}[A-F]{2}\d{1}[A-F]{2}
FF9FF9F9,[A-F]{2}\d{1}[A-F]{2}\d{1}[A-F]{1}\d{1}
FF9FF99F,[A-F]{2}\d{1}[A-F]{2}\d{2}[A-F]{1}
FF9FF999,[A-F]{2}\d{1}[A-F]{2}\d{3}
FF9F9FFF,[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{3}
FF9F9FF9,[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{2}\d{1}
FF9F9F9F,[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}
FF9F9F99,[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{2}
FF9F99FF,[A-F]{2}\d{1}[A-F]{1}\d{2}[A-F]{2}
FF9F99F9,[A-F]{2}\d{1}[A-F]{1}\d{2}[A-F]{1}\d{1}
FF9F999F,[A-F]{2}\d{1}[A-F]{1}\d{3}[A-F]{1}
FF9F9999,[A-F]{2}\d{1}[A-F]{1}\d{4}
FF99FFFF,[A-F]{2}\d{2}[A-F]{4}
FF99FFF9,[A-F]{2}\d{2}[A-F]{3}\d{1}
FF99FF9F,[A-F]{2}\d{2}[A-F]{2}\d{1}[A-F]{1}
FF99FF99,[A-F]{2}\d{2}[A-F]{2}\d{2}
FF99F9FF,[A-F]{2}\d{2}[A-F]{1}\d{1}[A-F]{2}
FF99F9F9,[A-F]{2}\d{2}[A-F]{1}\d{1}[A-F]{1}\d{1}
FF99F99F,[A-F]{2}\d{2}[A-F]{1}\d{2}[A-F]{1}
FF99F999,[A-F]{2}\d{2}[A-F]{1}\d{3}
FF999FFF,[A-F]{2}\d{3}[A-F]{3}
FF999FF9,[A-F]{2}\d{3}[A-F]{2}\d{1}
FF999F9F,[A-F]{2}\d{3}[A-F]{1}\d{1}[A-F]{1}
FF999F99,[A-F]{2}\d{3}[A-F]{1}\d{2}
FF9999FF,[A-F]{2}\d{4}[A-F]{2}
FF9999F9,[A-F]{2}\d{4}[A-F]{1}\d{1}
FF99999F,[A-F]{2}\d{5}[A-F]{1}
FF999999,[A-F]{2}\d{6}
F9FFFFFF,[A-F]{1}\d{1}[A-F]{6}
F9FFFFF9,[A-F]{1}\d{1}[A-F]{5}\d{1}
F9FFFF9F,[A-F]{1}\d{1}[A-F]{4}\d{1}[A-F]{1}
F9FFFF99,[A-F]{1}\d{1}[A-F]{4}\d{2}
F9FFF9FF,[A-F]{1}\d{1}[A-F]{3}\d{1}[A-F]{2}
F9FFF9F9,[A-F]{1}\d{1}[A-F]{3}\d{1}[A-F]{1}\d{1}
F9FFF99F,[A-F]{1}\d{1}[A-F]{3}\d{2}[A-F]{1}
F9FFF999,[A-F]{1}\d{1}[A-F]{3}\d{3}
F9FF9FFF,[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{3}
F9FF9FF9,[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{2}\d{1}
F9FF9F9F,[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{1}
F9FF9F99,[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{1}\d{2}
F9FF99FF,[A-F]{1}\d{1}[A-F]{2}\d{2}[A-F]{2}
F9FF99F9,[A-F]{1}\d{1}[A-F]{2}\d{2}[A-F]{1}\d{1}
F9FF999F,[A-F]{1}\d{1}[A-F]{2}\d{3}[A-F]{1}
F9FF9999,[A-F]{1}\d{1}[A-F]{2}\d{4}
F9F9FFFF,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{4}
F9F9FFF9,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{3}\d{1}
F9F9FF9F,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{1}
F9F9FF99,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{2}\d{2}
F9F9F9FF,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{2}
F9F9F9F9,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}
F9F9F99F,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{1}
F9F9F999,[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{3}
F9F99FFF,[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{3}
F9F99FF9,[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{2}\d{1}
F9F99F9F,[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{1}
F9F99F99,[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{1}\d{2}
F9F999FF,[A-F]{1}\d{1}[A-F]{1}\d{3}[A-F]{2}
F9F999F9,[A-F]{1}\d{1}[A-F]{1}\d{3}[A-F]{1}\d{1}
F9F9999F,[A-F]{1}\d{1}[A-F]{1}\d{4}[A-F]{1}
F9F99999,[A-F]{1}\d{1}[A-F]{1}\d{5}
F99FFFFF,[A-F]{1}\d{2}[A-F]{5}
F99FFFF9,[A-F]{1}\d{2}[A-F]{4}\d{1}
F99FFF9F,[A-F]{1}\d{2}[A-F]{3}\d{1}[A-F]{1}
F99FFF99,[A-F]{1}\d{2}[A-F]{3}\d{2}
F99FF9FF,[A-F]{1}\d{2}[A-F]{2}\d{1}[A-F]{2}
F99FF9F9,[A-F]{1}\d{2}[A-F]{2}\d{1}[A-F]{1}\d{1}
F99FF99F,[A-F]{1}\d{2}[A-F]{2}\d{2}[A-F]{1}
F99FF999,[A-F]{1}\d{2}[A-F]{2}\d{3}
F99F9FFF,[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{3}
F99F9FF9,[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{2}\d{1}
F99F9F9F,[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}
F99F9F99,[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{1}\d{2}
F99F99FF,[A-F]{1}\d{2}[A-F]{1}\d{2}[A-F]{2}
F99F99F9,[A-F]{1}\d{2}[A-F]{1}\d{2}[A-F]{1}\d{1}
F99F999F,[A-F]{1}\d{2}[A-F]{1}\d{3}[A-F]{1}
F99F9999,[A-F]{1}\d{2}[A-F]{1}\d{4}
F999FFFF,[A-F]{1}\d{3}[A-F]{4}
F999FFF9,[A-F]{1}\d{3}[A-F]{3}\d{1}
F999FF9F,[A-F]{1}\d{3}[A-F]{2}\d{1}[A-F]{1}
F999FF99,[A-F]{1}\d{3}[A-F]{2}\d{2}
F999F9FF,[A-F]{1}\d{3}[A-F]{1}\d{1}[A-F]{2}
F999F9F9,[A-F]{1}\d{3}[A-F]{1}\d{1}[A-F]{1}\d{1}
F999F99F,[A-F]{1}\d{3}[A-F]{1}\d{2}[A-F]{1}
F999F999,[A-F]{1}\d{3}[A-F]{1}\d{3}
F9999FFF,[A-F]{1}\d{4}[A-F]{3}
F9999FF9,[A-F]{1}\d{4}[A-F]{2}\d{1}
F9999F9F,[A-F]{1}\d{4}[A-F]{1}\d{1}[A-F]{1}
F9999F99,[A-F]{1}\d{4}[A-F]{1}\d{2}
F99999FF,[A-F]{1}\d{5}[A-F]{2}
F99999F9,[A-F]{1}\d{5}[A-F]{1}\d{1}
F999999F,[A-F]{1}\d{6}[A-F]{1}
F9999999,[A-F]{1}\d{7}
9FFFFFFF,\d{1}[A-F]{7}
9FFFFFF9,\d{1}[A-F]{6}\d{1}
9FFFFF9F,\d{1}[A-F]{5}\d{1}[A-F]{1}
9FFFFF99,\d{1}[A-F]{5}\d{2}
9FFFF9FF,\d{1}[A-F]{4}\d{1}[A-F]{2}
9FFFF9F9,\d{1}[A-F]{4}\d{1}[A-F]{1}\d{1}
9FFFF99F,\d{1}[A-F]{4}\d{2}[A-F]{1}
9FFFF999,\d{1}[A-F]{4}\d{3}
9FFF9FFF,\d{1}[A-F]{3}\d{1}[A-F]{3}
9FFF9FF9,\d{1}[A-F]{3}\d{1}[A-F]{2}\d{1}
9FFF9F9F,\d{1}[A-F]{3}\d{1}[A-F]{1}\d{1}[A-F]{1}
9FFF9F99,\d{1}[A-F]{3}\d{1}[A-F]{1}\d{2}
9FFF99FF,\d{1}[A-F]{3}\d{2}[A-F]{2}
9FFF99F9,\d{1}[A-F]{3}\d{2}[A-F]{1}\d{1}
9FFF999F,\d{1}[A-F]{3}\d{3}[A-F]{1}
9FFF9999,\d{1}[A-F]{3}\d{4}
9FF9FFFF,\d{1}[A-F]{2}\d{1}[A-F]{4}
9FF9FFF9,\d{1}[A-F]{2}\d{1}[A-F]{3}\d{1}
9FF9FF9F,\d{1}[A-F]{2}\d{1}[A-F]{2}\d{1}[A-F]{1}
9FF9FF99,\d{1}[A-F]{2}\d{1}[A-F]{2}\d{2}
9FF9F9FF,\d{1}[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{2}
9FF9F9F9,\d{1}[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}
9FF9F99F,\d{1}[A-F]{2}\d{1}[A-F]{1}\d{2}[A-F]{1}
9FF9F999,\d{1}[A-F]{2}\d{1}[A-F]{1}\d{3}
9FF99FFF,\d{1}[A-F]{2}\d{2}[A-F]{3}
9FF99FF9,\d{1}[A-F]{2}\d{2}[A-F]{2}\d{1}
9FF99F9F,\d{1}[A-F]{2}\d{2}[A-F]{1}\d{1}[A-F]{1}
9FF99F99,\d{1}[A-F]{2}\d{2}[A-F]{1}\d{2}
9FF999FF,\d{1}[A-F]{2}\d{3}[A-F]{2}
9FF999F9,\d{1}[A-F]{2}\d{3}[A-F]{1}\d{1}
9FF9999F,\d{1}[A-F]{2}\d{4}[A-F]{1}
9FF99999,\d{1}[A-F]{2}\d{5}
9F9FFFFF,\d{1}[A-F]{1}\d{1}[A-F]{5}
9F9FFFF9,\d{1}[A-F]{1}\d{1}[A-F]{4}\d{1}
9F9FFF9F,\d{1}[A-F]{1}\d{1}[A-F]{3}\d{1}[A-F]{1}
9F9FFF99,\d{1}[A-F]{1}\d{1}[A-F]{3}\d{2}
9F9FF9FF,\d{1}[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{2}
9F9FF9F9,\d{1}[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{1}\d{1}
9F9FF99F,\d{1}[A-F]{1}\d{1}[A-F]{2}\d{2}[A-F]{1}
9F9FF999,\d{1}[A-F]{1}\d{1}[A-F]{2}\d{3}
9F9F9FFF,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{3}
9F9F9FF9,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{2}\d{1}
9F9F9F9F,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}
9F9F9F99,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{2}
9F9F99FF,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{2}
9F9F99F9,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{1}\d{1}
9F9F999F,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{3}[A-F]{1}
9F9F9999,\d{1}[A-F]{1}\d{1}[A-F]{1}\d{4}
9F99FFFF,\d{1}[A-F]{1}\d{2}[A-F]{4}
9F99FFF9,\d{1}[A-F]{1}\d{2}[A-F]{3}\d{1}
9F99FF9F,\d{1}[A-F]{1}\d{2}[A-F]{2}\d{1}[A-F]{1}
9F99FF99,\d{1}[A-F]{1}\d{2}[A-F]{2}\d{2}
9F99F9FF,\d{1}[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{2}
9F99F9F9,\d{1}[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{1}\d{1}
9F99F99F,\d{1}[A-F]{1}\d{2}[A-F]{1}\d{2}[A-F]{1}
9F99F999,\d{1}[A-F]{1}\d{2}[A-F]{1}\d{3}
9F999FFF,\d{1}[A-F]{1}\d{3}[A-F]{3}
9F999FF9,\d{1}[A-F]{1}\d{3}[A-F]{2}\d{1}
9F999F9F,\d{1}[A-F]{1}\d{3}[A-F]{1}\d{1}[A-F]{1}
9F999F99,\d{1}[A-F]{1}\d{3}[A-F]{1}\d{2}
9F9999FF,\d{1}[A-F]{1}\d{4}[A-F]{2}
9F9999F9,\d{1}[A-F]{1}\d{4}[A-F]{1}\d{1}
9F99999F,\d{1}[A-F]{1}\d{5}[A-F]{1}
9F999999,\d{1}[A-F]{1}\d{6}
99FFFFFF,\d{2}[A-F]{6}
99FFFFF9,\d{2}[A-F]{5}\d{1}
99FFFF9F,\d{2}[A-F]{4}\d{1}[A-F]{1}
99FFFF99,\d{2}[A-F]{4}\d{2}
99FFF9FF,\d{2}[A-F]{3}\d{1}[A-F]{2}
99FFF9F9,\d{2}[A-F]{3}\d{1}[A-F]{1}\d{1}
99FFF99F,\d{2}[A-F]{3}\d{2}[A-F]{1}
99FFF999,\d{2}[A-F]{3}\d{3}
99FF9FFF,\d{2}[A-F]{2}\d{1}[A-F]{3}
99FF9FF9,\d{2}[A-F]{2}\d{1}[A-F]{2}\d{1}
99FF9F9F,\d{2}[A-F]{2}\d{1}[A-F]{1}\d{1}[A-F]{1}
99FF9F99,\d{2}[A-F]{2}\d{1}[A-F]{1}\d{2}
99FF99FF,\d{2}[A-F]{2}\d{2}[A-F]{2}
99FF99F9,\d{2}[A-F]{2}\d{2}[A-F]{1}\d{1}
99FF999F,\d{2}[A-F]{2}\d{3}[A-F]{1}
99FF9999,\d{2}[A-F]{2}\d{4}
99F9FFFF,\d{2}[A-F]{1}\d{1}[A-F]{4}
99F9FFF9,\d{2}[A-F]{1}\d{1}[A-F]{3}\d{1}
99F9FF9F,\d{2}[A-F]{1}\d{1}[A-F]{2}\d{1}[A-F]{1}
99F9FF99,\d{2}[A-F]{1}\d{1}[A-F]{2}\d{2}
99F9F9FF,\d{2}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{2}
99F9F9F9,\d{2}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}\d{1}
99F9F99F,\d{2}[A-F]{1}\d{1}[A-F]{1}\d{2}[A-F]{1}
99F9F999,\d{2}[A-F]{1}\d{1}[A-F]{1}\d{3}
99F99FFF,\d{2}[A-F]{1}\d{2}[A-F]{3}
99F99FF9,\d{2}[A-F]{1}\d{2}[A-F]{2}\d{1}
99F99F9F,\d{2}[A-F]{1}\d{2}[A-F]{1}\d{1}[A-F]{1}
99F99F99,\d{2}[A-F]{1}\d{2}[A-F]{1}\d{2}
99F999FF,\d{2}[A-F]{1}\d{3}[A-F]{2}
99F999F9,\d{2}[A-F]{1}\d{3}[A-F]{1}\d{1}
99F9999F,\d{2}[A-F]{1}\d{4}[A-F]{1}
99F99999,\d{2}[A-F]{1}\d{5}
999FFFFF,\d{3}[A-F]{5}
999FFFF9,\d{3}[A-F]{4}\d{1}
999FFF9F,\d{3}[A-F]{3}\d{1}[A-F]{1}
999FFF99,\d{3}[A-F]{3}\d{2}
999FF9FF,\d{3}[A-F]{2}\d{1}[A-F]{2}
999FF9F9,\d{3}[A-F]{2}\d{1}[A-F]{1}\d{1}
999FF99F,\d{3}[A-F]{2}\d{2}[A-F]{1}
999FF999,\d{3}[A-F]{2}\d{3}
999F9FFF,\d{3}[A-F]{1}\d{1}[A-F]{3}
999F9FF9,\d{3}[A-F]{1}\d{1}[A-F]{2}\d{1}
999F9F9F,\d{3}[A-F]{1}\d{1}[A-F]{1}\d{1}[A-F]{1}
999F9F99,\d{3}[A-F]{1}\d{1}[A-F]{1}\d{2}
999F99FF,\d{3}[A-F]{1}\d{2}[A-F]{2}
999F99F9,\d{3}[A-F]{1}\d{2}[A-F]{1}\d{1}
999F999F,\d{3}[A-F]{1}\d{3}[A-F]{1}
999F9999,\d{3}[A-F]{1}\d{4}
9999FFFF,\d{4}[A-F]{4}
9999FFF9,\d{4}[A-F]{3}\d{1}
9999FF9F,\d{4}[A-F]{2}\d{1}[A-F]{1}
9999FF99,\d{4}[A-F]{2}\d{2}
9999F9FF,\d{4}[A-F]{1}\d{1}[A-F]{2}
9999F9F9,\d{4}[A-F]{1}\d{1}[A-F]{1}\d{1}
9999F99F,\d{4}[A-F]{1}\d{2}[A-F]{1}
9999F999,\d{4}[A-F]{1}\d{3}
99999FFF,\d{5}[A-F]{3}
99999FF9,\d{5}[A-F]{2}\d{1}
99999F9F,\d{5}[A-F]{1}\d{1}[A-F]{1}
99999F99,\d{5}[A-F]{1}\d{2}
999999FF,\d{6}[A-F]{2}
999999F9,\d{6}[A-F]{1}\d{1}
9999999F,\d{7}[A-F]{1}
99999999,\d{8}
